날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2024-05-02,6169.73,6215,6215,6180,6210,3675,22812650,82.25
2024-05-03,6263.96,6275,6290,6260,6290,11625,72971230,83.15
2024-05-07,6469.41,6440,6470,6400,6450,72782,468068440,85.02
2024-05-08,6471.78,6475,6490,6445,6485,14649,94638085,84.0
2024-05-09,6391.06,6460,6460,6395,6415,4386,28105455,83.61
2024-05-10,6361.49,6395,6415,6350,6415,19651,125524365,84.76
2024-05-13,6452.59,6465,6465,6395,6415,13299,85408085,85.16
2024-05-14,6485.32,6500,6530,6455,6530,20836,135664550,84.82
2024-05-16,6408.44,6450,6450,6390,6440,25941,166651440,83.8
2024-05-17,6374.76,6395,6450,6355,6450,10493,67168910,83.31
2024-05-20,6336.61,6405,6405,6370,6400,22764,145289450,85.31
2024-05-21,6492.06,6470,6500,6460,6480,13696,88852075,85.21
2024-05-22,6485.33,6520,6555,6490,6545,22442,146574355,85.06
2024-05-23,6474.15,6510,6515,6465,6470,33772,218945240,85.17
2024-05-24,6485.49,6510,6535,6470,6530,23502,153347490,85.5
2024-05-27,6509.18,6535,6555,6535,6555,34780,227814405,85.5
2024-05-28,6508.14,6560,6605,6560,6590,30991,204356960,85.3
2024-05-29,6490.11,6525,6525,6480,6510,25423,165170475,84.36
2024-05-30,6424.18,6460,6460,6395,6430,28619,184109480,83.42
2024-05-31,6352.87,6380,6415,6370,6405,11596,74238820,82.99
2024-06-03,6320.11,6345,6360,6330,6335,40338,255951430,82.53
2024-06-04,6285.74,6315,6315,6275,6300,25677,161625570,82.09
2024-06-05,6250.71,6275,6290,6245,6285,13015,81612365,81.63
2024-06-07,6272.7,6300,6315,6260,6270,23638,148378315,81.64
2024-06-10,6215.69,6260,6260,6205,6235,9531,59342435,81.11
2024-06-11,6174.28,6235,6260,6180,6210,12319,76316245,81.19
2024-06-12,6182.3,6155,6220,6155,6190,15149,93596310,81.02
2024-06-13,6169.74,6170,6205,6170,6195,25727,159325775,81.98
2024-06-14,6242.51,6215,6245,6210,6240,13102,81588565,81.08
2024-06-17,6171.17,6220,6220,6110,6110,49021,301727430,79.54
2024-06-18,6059.07,6080,6105,5950,6105,21086,127943960,79.59
2024-06-19,6059.1,6055,6105,6055,6105,12260,74662720,79.59
2024-06-20,6059.35,6100,6100,6075,6090,9467,57664895,78.35
2024-06-21,5968.6,5985,6015,5985,6010,30557,183514235,78.0
2024-06-24,5939.01,6010,6010,5950,5975,9550,57012900,78.31
2024-06-25,5961.29,5980,6000,5965,5975,12520,74928045,76.98
2024-06-26,5861.09,5925,5925,5880,5900,15872,93603760,76.62
2024-06-27,5831.71,5850,5880,5850,5855,15953,93452525,77.34
2024-06-28,5886.82,5905,5925,5865,5895,7530,44490080,76.65
2024-07-01,5833.59,5860,5870,5830,5870,16774,98147515,77.25
2024-07-02,5881.78,5860,5900,5860,5890,6746,39686630,77.22
2024-07-03,5877.67,5895,5910,5890,5905,8018,47305675,77.07
2024-07-04,5866.1,5870,5900,5855,5875,13972,82040435,77.07
2024-07-05,5866.92,5930,5930,5860,5875,8052,47301115,77.76
2024-07-08,5917.35,5960,5960,5875,5875,10349,60976930,75.86
2024-07-09,5771.34,5805,5805,5765,5780,23593,136477675,75.3
2024-07-10,5730.81,5740,5740,5695,5705,26709,152683935,74.62
2024-07-11,5681.94,5695,5705,5685,5695,14324,81638675,74.92
2024-07-12,5707.14,5695,5720,5675,5700,22281,126833410,74.44
2024-07-15,5670.14,5685,5685,5600,5625,17716,99641925,73.07
2024-07-16,5567.52,5570,5590,5535,5565,23793,132288195,73.26
2024-07-17,5583.18,5535,5625,5535,5610,13923,78070400,73.45
2024-07-18,5597.99,5615,5630,5560,5575,19210,107350540,72.76
2024-07-19,5545.0,5560,5560,5530,5545,6484,35935825,72.7
2024-07-22,5544.99,5530,5610,5530,5600,11060,61863280,73.94
2024-07-23,5635.05,5600,5660,5600,5630,15619,88148115,73.94
2024-07-24,5631.14,5615,5640,5585,5600,12329,69285180,73.71
2024-07-25,5616.41,5620,5625,5595,5615,6822,38221875,74.37
2024-07-26,5663.9,5685,5685,5615,5670,12077,68399300,72.69
2024-07-29,5536.03,5570,5570,5485,5520,21915,120632055,73.15
2024-07-30,5570.11,5575,5575,5535,5545,9222,51099870,72.32
2024-07-31,5507.51,5520,5530,5490,5525,7179,39478810,72.13
2024-08-01,5493.63,5520,5520,5475,5485,11820,64872400,71.83
2024-08-02,5474.36,5450,5495,5450,5490,13856,75834065,72.3
2024-08-05,5508.26,5490,5525,5410,5460,38551,211598525,72.77
2024-08-06,5538.04,5490,5530,5480,5490,12868,70708060,72.37
2024-08-07,5509.96,5490,5520,5475,5485,4525,24843835,72.0
2024-08-08,5485.73,5500,5500,5470,5475,5757,31556630,71.85
2024-08-09,5470.39,5475,5520,5440,5480,3773,20652265,71.67
2024-08-12,5457.84,5480,5480,5425,5435,5824,31683725,71.49
2024-08-13,5440.59,5460,5460,5400,5400,7418,40271790,70.56
2024-08-14,5374.88,5380,5380,5345,5370,8509,45648485,70.71
2024-08-16,5357.32,5370,5370,5335,5340,6687,35715995,69.98
2024-08-19,5330.91,5330,5355,5325,5350,9078,48427785,70.8
2024-08-20,5392.52,5380,5400,5380,5385,5154,27767090,70.57
2024-08-21,5376.1,5385,5395,5375,5385,3017,16250955,70.25
2024-08-22,5351.37,5365,5365,5330,5350,7202,38470535,69.49
2024-08-23,5294.23,5300,5315,5295,5310,7087,37563860,69.75
2024-08-26,5310.98,5300,5305,5285,5290,4928,26084245,69.94
2024-08-27,5327.27,5340,5345,5300,5335,5074,27042215,70.97
2024-08-28,5404.09,5375,5400,5375,5380,13575,73200340,70.82
2024-08-29,5390.61,5380,5405,5370,5400,3442,18566895,71.67
2024-08-30,5457.93,5425,5485,5425,5480,9106,49754905,71.88
2024-09-02,5474.12,5480,5480,5460,5480,5108,27963790,71.88
2024-09-03,5474.45,5480,5485,5455,5470,4125,22551960,73.14
2024-09-04,5564.79,5495,5575,5495,5565,22261,123613900,73.85
2024-09-05,5616.65,5580,5610,5580,5600,13206,73946665,73.64
2024-09-06,5596.31,5600,5600,5565,5575,9383,52332440,72.69
2024-09-09,5530.16,5535,5535,5485,5530,7195,39586735,72.97
2024-09-10,5549.62,5505,5550,5505,5540,2767,15332910,72.44
2024-09-11,5512.28,5530,5540,5505,5540,4115,22701900,72.84
2024-09-12,5541.22,5560,5565,5530,5565,7002,38854985,73.2
2024-09-13,5567.4,5565,5600,5565,5580,9270,51738395,73.92
2024-09-19,5675.67,5650,5680,5645,5655,9035,51080815,74.32
2024-09-20,5648.79,5615,5670,5615,5670,13675,77180205,74.5
2024-09-23,5665.41,5670,5715,5655,5695,19112,108912540,76.01
2024-09-24,5773.91,5760,5775,5755,5755,11534,66508460,76.14
2024-09-25,5784.7,5770,5775,5755,5770,7886,45479690,76.93
2024-09-26,5841.11,5830,5850,5830,5840,9219,53858245,76.31
2024-09-27,5795.57,5820,5820,5760,5775,6832,39390005,76.54
2024-09-30,5808.03,5775,5805,5770,5790,5518,31895155,76.73
2024-10-02,5900.78,5745,5925,5745,5925,40185,236130965,78.22
2024-10-04,5907.2,5930,5930,5875,5875,12205,71820210,76.82
2024-10-07,5836.81,5810,5845,5790,5825,19842,115251565,76.67
2024-10-08,5825.54,5815,5855,5795,5810,14092,82067730,76.16
2024-10-10,5779.6,5810,5825,5800,5825,14102,82011295,76.04
2024-10-11,5777.16,5780,5800,5770,5785,4289,24827415,75.52
2024-10-14,5744.31,5770,5770,5705,5720,6066,34703785,74.45
2024-10-15,5660.89,5680,5680,5625,5625,12174,68596545,73.99
2024-10-16,5626.39,5620,5650,5620,5630,7331,41357415,73.68
2024-10-17,5603.84,5610,5620,5580,5580,5219,29208550,73.92
2024-10-18,5622.81,5630,5650,5625,5645,15033,84702840,73.06
2024-10-21,5557.0,5600,5600,5565,5575,6568,36607985,73.2
2024-10-22,5565.74,5555,5575,5535,5540,5038,27946575,73.82
2024-10-23,5614.59,5565,5620,5565,5610,10935,61313430,74.5
2024-10-24,5666.09,5670,5695,5655,5675,10114,57424860,74.6
2024-10-25,5675.33,5675,5680,5650,5665,8061,45648260,73.84
2024-10-28,5614.73,5640,5640,5590,5590,11405,63986375,73.02
2024-10-29,5551.03,5580,5580,5545,5560,4739,26340015,73.36
2024-10-30,5579.11,5560,5585,5550,5565,1956,10882560,73.71
2024-10-31,5602.29,5580,5595,5570,5580,6989,38985185,74.06
2024-11-01,5630.67,5630,5655,5620,5645,4155,23453525,73.76
2024-11-04,5607.11,5615,5635,5595,5635,8570,48134960,73.75
2024-11-05,5603.89,5615,5615,5590,5605,14308,80112905,73.99
2024-11-06,5622.97,5600,5630,5565,5580,2528,14105690,74.46
2024-11-07,5662.35,5640,5675,5640,5670,5567,31500275,75.03
2024-11-08,5703.27,5670,5705,5670,5690,4416,25161625,75.12
2024-11-11,5713.89,5690,5720,5680,5680,18818,106966300,74.47
2024-11-12,5660.84,5680,5680,5630,5645,8094,45678095,73.77
2024-11-13,5605.65,5535,5645,5530,5590,6941,38763780,73.14
2024-11-14,5558.91,5615,5615,5530,5550,8232,45756540,72.42
2024-11-15,5503.54,5485,5485,5475,5485,6163,33771820,73.06
2024-11-18,5551.37,5485,5550,5485,5530,3609,19971325,74.04
2024-11-19,5627.62,5600,5620,5600,5615,10144,56935185,73.74
2024-11-20,5603.51,5595,5620,5575,5595,11735,65545300,73.62
2024-11-21,5597.91,5575,5600,5575,5600,4588,25618445,72.98
2024-11-22,5546.38,5575,5575,5535,5545,8172,45339950,72.94
2024-11-25,5544.19,5525,5545,5525,5545,9775,54056815,72.41
2024-11-26,5500.04,5535,5535,5480,5495,12639,69414650,72.39
2024-11-27,5500.97,5495,5495,5475,5490,6144,33714220,72.31
2024-11-28,5494.82,5480,5490,5475,5480,2996,16420815,72.31
2024-11-29,5493.51,5485,5485,5465,5470,1777,9720350,72.14
2024-12-02,5481.14,5470,5470,5440,5445,5244,28591705,71.98
2024-12-03,5471.12,5445,5465,5445,5460,3204,17484925,72.18
2024-12-04,5485.67,5460,5485,5440,5470,3972,21665155,71.85
2024-12-05,5460.93,5465,5465,5440,5445,5130,27935695,72.52
2024-12-06,5514.11,5505,5505,5485,5495,5128,28154410,73.1
2024-12-09,5560.59,5555,5555,5525,5540,23812,131720310,73.11
2024-12-10,5557.59,5540,5560,5535,5545,8516,47190275,73.48
2024-12-11,5588.22,5605,5605,5560,5575,10936,60938495,73.78
2024-12-12,5605.44,5605,5620,5585,5600,4132,23147905,73.25
2024-12-13,5556.11,5590,5590,5535,5555,7984,44282975,73.13
